// PacMan
// Criação:     01 Jan 2013
// Atualização: 25 Ago 2021
// Descrição:   Nível 1 (Pivôs)
//
// Informações dos pivôs:
// left right up down posX posY

// linha 1
1 1 1 1 163 88
1 1 1 1 254 88
1 1 1 1 705 88
1 1 1 1 795 88

//linha 2
1 1 1 1 76 179
1 1 1 1 163 179
1 1 1 1 254 179
1 1 1 1 344 179
1 1 1 1 478 179
1 1 1 1 614 179
1 1 1 1 705 179
1 1 1 1 795 179
1 1 1 1 883 179

// linha 3
1 1 1 1 76 269
1 1 1 1 163 269
1 1 1 1 254 269
1 1 1 1 344 269
1 1 1 1 478 269
1 1 1 1 614 269
1 1 1 1 705 269
1 1 1 1 795 269
1 1 1 1 883 269

// linha 4
1 1 1 1 76 360
1 1 1 1 254 360
1 1 1 1 344 360
1 1 1 1 478 360
1 1 1 1 614 360
1 1 1 1 705 360
1 1 1 1 883 360
    
// linha 5 
1 1 1 1 76 450
1 1 1 1 163 450
1 1 1 1 254 450
1 1 1 1 344 450
1 1 1 1 478 450
1 1 1 1 614 450
1 1 1 1 705 450
1 1 1 1 795 450
1 1 1 1 883 450

// linha 6
1 1 1 1 76 540
1 1 1 1 163 540
1 1 1 1 254 540
1 1 1 1 344 540
1 1 1 1 478 540
1 1 1 1 614 540
1 1 1 1 705 540
1 1 1 1 795 540
1 1 1 1 883 540

// linha 7
1 1 1 1 163 630
1 1 1 1 254 630
1 1 1 1 705 630
1 1 1 1 795 630
